duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
0.15182614,0.0,0.77414757,2.3224428,0.9518631,4.8161497,0.5463498,4.9171486,1.8390198,0.471,0.37559918,1.0,0.0,0.0,0.0,0.0,9.18,1.0
0.13698101,0.0,0.44877067,3.1413946,1.26676,5.2014947,0.8150173,39.93585,4.0737343,0.0,0.11270059,0.33333334,0.0952381,0.14285715,0.14285715,0.2857143,-5.647382,1.0
0.13413715,1.0,0.084538646,0.33815458,0.19858822,5.3764687,0.6828413,10.925461,2.56028,0.0,0.3129105,1.0,0.0,0.0,0.0,0.0,-2.0259998,1.0
0.15228319,0.0,0.18770872,0.7508349,0.39970523,7.3994484,0.9120586,14.592937,3.8673377,0.0,0.350596,0.5,0.0,0.0,0.16666667,0.33333334,6.9368334,1.0
0.14320588,0.0,0.4917706,1.4753118,0.97311664,4.377145,0.63841534,5.745738,2.7228892,0.379,0.3665875,0.6666667,0.0,0.0,0.0,0.33333334,2.586667,1.0
0.18936682,0.0,0.30450487,2.131534,0.83303416,4.6346984,0.78226215,38.330845,2.6802864,0.0,0.07797197,0.1904762,0.0952381,0.0,0.2857143,0.42857143,-0.9220953,0.0
0.18155336,0.0,0.4741457,2.3707285,0.6049681,5.460248,0.96601653,24.150414,3.4809985,0.0,0.22688155,0.4,0.2,0.1,0.3,0.0,1.7216997,0.0
0.17189693,1.0,0.42043883,1.6817553,0.60661906,5.5903735,0.97918946,15.667031,3.4524658,0.0,0.31443554,0.5,0.33333334,0.0,0.16666667,0.0,1.9298315,1.0
0.16817713,0.0,0.3060884,2.1426187,0.71225274,6.71633,0.906648,44.42575,3.9876232,0.0,0.1335665,0.2857143,0.04761905,0.14285715,0.1904762,0.33333334,-2.5623338,1.0
0.18307757,0.0,0.61957985,3.7174792,0.88958126,5.4292383,1.082411,38.966797,4.0530114,0.0,0.26986778,0.8,0.13333334,0.0,0.0,0.06666667,-9.354,1.0
0.15207267,0.0,0.5164462,1.5493385,1.0434902,5.917096,0.93889725,8.450075,3.1815472,0.373,0.5070789,1.0,0.0,0.0,0.0,0.0,11.08,1.0
0.15195823,0.0,0.17080235,0.8540118,0.28222418,6.571533,0.76461947,19.115486,3.6519125,0.276,0.20771301,0.5,0.2,0.0,0.1,0.2,-10.0189,1.0
0.13355851,0.0,0.34822977,1.7411488,0.5744208,4.9273796,0.48508522,12.1271305,1.6023988,0.403,0.09047605,0.3,0.1,0.1,0.3,0.2,-2.5978003,1.0
0.30280972,1.0,0.3357394,2.3501759,0.93042266,5.6998615,0.9691633,47.489002,4.282272,0.0,0.15838993,0.33333334,0.23809524,0.04761905,0.14285715,0.23809524,3.2291431,1.0
0.1417532,0.0,0.17569627,0.7027851,0.38340792,6.2369814,0.50732607,8.117217,2.25369,0.385,0.08017772,0.0,0.0,0.0,0.5,0.5,17.0905,0.0
0.1338098,0.0,0.39697516,1.5879006,0.7403501,3.6771595,0.7083615,11.333784,2.7535074,0.0,0.17931017,0.16666667,0.16666667,0.33333334,0.33333334,0.0,-6.5325003,1.0
0.18346357,0.0,0.08465472,0.5079283,0.17495835,8.695086,0.5634499,20.284197,3.197491,0.355,0.053852946,0.13333334,0.0,0.06666667,0.2,0.6,3.388467,1.0
0.14477181,0.0,0.2839512,1.1358048,0.3968114,6.436281,0.92025155,14.724025,3.642358,0.266,0.26481405,0.33333334,0.0,0.16666667,0.16666667,0.33333334,-6.722501,1.0
0.15520787,0.0,0.64314085,2.5725634,1.096625,4.52916,0.90493464,14.478954,3.4094748,0.0,0.22899836,0.16666667,0.33333334,0.0,0.33333334,0.16666667,2.4453335,1.0
0.13177586,0.0,0.53749454,2.6874726,1.2796693,5.050396,0.86366487,21.591621,4.419363,0.0,0.22600225,0.4,0.1,0.1,0.2,0.2,1.0521002,1.0
0.14476871,0.0,0.169831,1.018986,0.25558576,6.923019,0.9826393,35.375015,3.806724,0.263,0.23060076,0.6,0.2,0.0,0.13333334,0.06666667,-0.07153413,1.0
0.12824059,0.0,0.23324504,0.9329802,0.33272395,6.646616,0.70847064,11.33553,3.1415136,0.271,0.3085028,0.5,0.33333334,0.0,0.16666667,0.0,-1.0581675,1.0
0.13770533,0.0,0.317413,1.587065,0.9492197,4.256274,0.6785786,16.964466,3.3270292,0.0,0.1974364,0.6,0.0,0.4,0.0,0.0,7.8576,1.0
0.17010498,1.0,0.36301306,1.0890392,0.8589403,3.9590006,0.628884,5.659956,1.9710377,0.0,0.2305034,0.33333334,0.0,0.33333334,0.0,0.33333334,1.5560002,0.0
0.16975379,0.0,0.22043428,1.1021714,0.392997,5.7127852,0.79526347,19.881586,2.8755076,0.327,0.21618274,0.5,0.1,0.0,0.4,0.0,-2.8961008,1.0
0.15962672,1.0,0.15402102,0.6160841,0.24508883,5.6222787,0.768771,12.300336,2.8764513,0.0,0.2384899,0.16666667,0.5,0.0,0.0,0.33333334,4.2921677,1.0
0.260885,0.0,0.37963477,1.8981738,0.8191922,4.7328343,0.851584,21.2896,3.3718226,0.0,0.206092,0.3,0.2,0.1,0.4,0.0,-0.72819984,1.0
