duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
310.7318,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,5.80408,0.7403843,26.653833,2.7457108,0.0,0.10110959,0.33333334,0.0,0.06666667,0.06666667,0.2,1.7125845,41.85717,-3.887,0.513,-9.0,4.5,-7.821056e-09,0.1
223.41386,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,2.832774,0.1272007,3.1800175,0.5040676,0.323,-0.019179612,0.0,0.1,0.0,0.1,0.0,1.6343201,136.36906,-7.3696003,0.0304,-12.0,4.5,-2.44639e-08,0.1
417.42188,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,3.5128841,0.38014263,13.685135,1.7672001,0.0,0.013254418,0.06666667,0.0,0.0,0.13333334,0.4,0.6666446,23.421944,-17.796133,0.103866674,-18.0,0.0,-5.054289e-09,0.1
86.265045,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,6.526093,0.5814046,5.2326417,2.0276036,0.425,0.16506796,0.33333334,0.0,0.0,0.0,0.6666667,4.436599,212.32884,-12.893333,0.50666666,-18.0,4.5,-1.5135423e-07,0.1
257.64822,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,3.8128247,0.41893747,6.7029996,1.550884,0.277,0.09812823,0.33333334,0.0,0.16666667,0.16666667,0.33333334,2.0090663,111.382225,-15.877501,0.5225,-21.0,4.5,-4.0806976e-09,0.1
296.81894,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,3.8109748,0.50348383,8.055741,2.1057265,0.0,0.067711815,0.16666667,0.0,0.0,0.0,0.5,1.5332158,67.31247,-2.6466668,0.25333333,-3.0,0.0,-3.4674777e-08,0.1
584.1618,5.0,1.0,0.0,0.4087936,2.043968,1.002823,5.1688437,0.83918226,20.979557,3.1662786,0.0,0.19103833,0.3,0.1,0.1,0.2,0.3,-0.021832466,-0.4206121,-2.4041,0.4959,-3.0,0.0,-5.1581828e-09,0.1
221.95178,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,4.4845085,0.39383498,6.3013597,1.5636919,0.255,0.007735009,0.0,0.0,0.0,0.0,0.6666667,0.25960302,6.144583,-8.9,0.0,-9.0,0.0,-1.27065665e-08,0.1
914.30743,7.0,3.0,0.33333334,0.10358112,0.72506785,0.29287323,5.002453,0.42050654,20.60482,2.3131528,0.0,0.016085936,0.0952381,0.0,0.0952381,0.04761905,0.2857143,0.50997686,11.3518,-1.2410952,0.15290476,-5.994,4.5,-7.594109e-08,0.1
77.62657,3.0,4.0,1.0,0.24267818,0.72803456,0.3493567,6.5698934,0.37338698,3.360483,1.3624647,0.429,0.093394764,0.33333334,0.0,0.0,0.0,0.6666667,3.8895426,145.11319,-3.8693333,0.50666666,-8.976,4.5,-4.5394668e-08,0.1
