duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
237.70319,0.0,0.77414757,2.3224428,0.9518631,4.135889,0.5387157,4.8484416,1.8046665,0.471,0.3679652,1.0,0.0,0.0,0.0,0.0,14.879999,1.0
296.8721,0.0,0.44877067,3.1413946,1.26676,6.4930086,0.84618455,41.463043,4.4595585,0.0,0.12308971,0.33333334,0.0952381,0.04761905,0.0952381,0.33333334,1.960762,1.0
247.16228,0.0,0.084538646,0.33815458,0.19858822,2.417074,0.23476367,3.7562187,1.1101677,0.0,0.014192019,0.16666667,0.16666667,0.16666667,0.0,0.16666667,-1.6134996,1.0
274.6349,0.0,0.18770872,0.7508349,0.39970523,4.191089,0.55887365,8.941978,2.0976923,0.0,0.115139395,0.16666667,0.16666667,0.0,0.0,0.6666667,17.599167,0.0
275.47083,0.0,0.4917706,1.4753118,0.97311664,3.5896347,0.41576025,3.7418423,1.8111875,0.379,0.1439323,0.33333334,0.0,0.0,0.0,0.33333334,7.5933337,0.0
305.3622,0.0,0.30450487,2.131534,0.83303416,5.671464,0.86637247,42.45225,3.737368,0.0,0.10600875,0.23809524,0.23809524,0.0,0.1904762,0.23809524,0.16661936,1.0
292.1977,0.0,0.4741457,2.3707285,0.6049681,3.9670043,0.7832547,19.581367,3.0234644,0.0,0.13550064,0.1,0.2,0.3,0.3,0.1,9.7625,0.0
307.80295,0.0,0.42043883,1.6817553,0.60661906,4.7379913,0.8567428,13.707885,3.112059,0.0,0.23280452,0.33333334,0.0,0.0,0.5,0.16666667,15.483833,0.0
277.4908,0.0,0.3060884,2.1426187,0.71225274,6.585363,0.9332469,45.7291,3.9089198,0.0,0.14243284,0.2857143,0.1904762,0.14285715,0.14285715,0.14285715,3.097857,1.0
256.147,0.0,0.61957985,3.7174792,0.88958126,3.9451795,0.8952875,32.23035,3.4159014,0.0,0.1950184,0.53333336,0.06666667,0.06666667,0.26666668,0.0,1.2602005,0.0
234.00812,0.0,0.5164462,1.5493385,1.0434902,5.224543,0.44861037,4.037493,1.544722,0.373,0.016792113,0.0,0.0,0.0,0.33333334,0.33333334,16.393667,1.0
228.87321,0.0,0.17080235,0.8540118,0.28222418,4.257802,0.35169274,8.792318,1.5449307,0.276,0.0012496263,0.1,0.0,0.0,0.1,0.2,2.7461,0.0
615.75916,0.0,0.34822977,1.7411488,0.5744208,4.4790053,0.3341863,8.354657,1.000054,0.403,0.01502656,0.2,0.0,0.2,0.0,0.3,7.0808,1.0
285.83652,0.0,0.3357394,2.3501759,0.93042266,5.4831414,0.8989095,44.046566,4.0963936,0.0,0.13497196,0.47619048,0.14285715,0.04761905,0.04761905,0.14285715,8.030952,1.0
271.03336,1.0,0.17569627,0.7027851,0.38340792,5.764227,0.3371512,5.394419,1.5633657,0.385,-0.0332722,0.0,0.0,0.0,0.0,0.33333334,13.393999,1.0
275.7319,0.0,0.39697516,1.5879006,0.7403501,3.8756723,0.6211947,9.939116,2.3740015,0.0,0.12119895,0.16666667,0.0,0.0,0.5,0.33333334,1.1371665,1.0
272.41193,0.0,0.08465472,0.5079283,0.17495835,6.857723,0.19831397,7.1393027,0.92762864,0.355,-0.092201434,0.0,0.0,0.0,0.0,0.06666667,5.5,1.0
279.0624,0.0,0.2839512,1.1358048,0.3968114,6.4505644,0.6888764,11.022022,2.7299652,0.266,0.11056391,0.16666667,0.0,0.16666667,0.0,0.5,-0.7659998,1.0
236.6224,0.0,0.64314085,2.5725634,1.096625,4.3451123,0.76747537,12.279606,2.87419,0.0,0.13735884,0.16666667,0.0,0.0,0.16666667,0.6666667,10.8435,0.0
266.20642,0.0,0.53749454,2.6874726,1.2796693,4.25465,0.5177861,12.944653,2.7182975,0.0,0.053062875,0.2,0.0,0.0,0.0,0.3,7.0959997,1.0
286.31857,0.0,0.169831,1.018986,0.25558576,3.0279841,0.36929634,13.294668,1.5013626,0.263,-0.014736448,0.0,0.0,0.0,0.13333334,0.2,4.697467,1.0
238.08708,0.0,0.23324504,0.9329802,0.33272395,2.2743332,0.25830603,4.1328964,0.84703785,0.271,0.008393085,0.0,0.16666667,0.0,0.0,0.5,11.8525,0.0
259.52496,0.0,0.317413,1.587065,0.9492197,4.498561,0.41266698,10.316674,1.9518759,0.0,0.064480565,0.4,0.2,0.0,0.0,0.0,20.235,0.0
263.45517,0.0,0.36301306,1.0890392,0.8589403,3.8140454,0.45181862,4.0663676,1.4798999,0.0,0.05343802,0.0,0.0,0.0,0.0,0.6666667,4.3999996,1.0
275.66922,0.0,0.22043428,1.1021714,0.392997,5.6136093,0.3472225,8.680563,1.146829,0.327,-0.007837733,0.0,0.1,0.0,0.0,0.4,5.4715004,1.0
264.28256,0.0,0.15402102,0.6160841,0.24508883,3.736484,0.3518004,5.6288066,1.4916054,0.0,-0.03949046,0.0,0.0,0.0,0.16666667,0.0,15.996834,0.0
