duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
230.33794,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,5.980945,0.70299315,25.307755,2.5373144,0.0,0.08615313,0.33333334,0.0,0.0,0.06666667,0.26666668,1.8894496,46.179928,-1.9920664,2.4079335,-9.0,4.5,-5.6490503e-08,0.1
220.22339,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,3.772838,0.13052702,3.2631755,0.51103944,0.323,-0.01751645,0.0,0.1,0.0,0.1,0.0,2.5743842,214.80882,-11.8696,0.0304,-12.0,0.0,-7.418022e-08,0.1
231.52078,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,3.2611964,0.2980789,10.73084,1.5021116,0.0,-0.019571083,0.0,0.06666667,0.0,0.13333334,0.2,0.4149568,14.579129,-17.878468,0.021533335,-18.0,0.0,-2.8836766e-08,0.1
215.92213,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,6.517991,0.6838687,6.1548185,2.4876776,0.425,0.26753208,0.33333334,0.0,0.33333334,0.33333334,0.0,4.428497,211.9411,-10.961667,2.4383333,-18.0,4.5,-3.0134668e-08,0.1
289.72943,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,3.8698654,0.42126754,6.7402806,1.5666211,0.277,0.09968161,0.33333334,0.0,0.16666667,0.16666667,0.33333334,2.066107,114.544556,-20.3775,0.5225,-21.0,0.0,-4.02526e-09,0.1
202.13603,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,4.525288,0.5821167,9.313868,2.509797,0.0,0.12013375,0.16666667,0.0,0.16666667,0.33333334,0.33333334,2.247529,98.67282,1.1723332,4.0723333,-3.0,0.0,-3.060094e-08,0.1
204.61497,5.0,1.0,0.0,0.4087936,2.043968,1.002823,5.2895145,0.8389606,20.974014,3.6440883,0.0,0.19092743,0.3,0.3,0.0,0.1,0.2,0.09883833,1.9041538,4.0434,2.4434,-3.0,4.5,-4.8150723e-09,0.1
280.5477,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,6.2086716,0.4693038,7.5088606,1.8924782,0.255,0.05804753,0.0,0.0,0.0,0.16666667,0.8333333,1.9837661,46.954094,-0.5968336,3.8031669,-9.0,4.5,-3.8185058e-07,0.1
300.79355,7.0,3.0,0.0,0.10358112,0.72506785,0.29287323,4.727423,0.46068022,22.57333,2.3844213,0.0,0.029477166,0.0952381,0.04761905,0.0952381,0.04761905,0.42857143,0.2349472,5.229795,-8.733523,0.16647619,-9.0,0.0,-1.12032765e-08,0.1
271.45804,3.0,4.0,0.0,0.24267818,0.72803456,0.3493567,5.031376,0.36194536,3.2575083,1.3109772,0.429,0.08195317,0.33333334,0.0,0.0,0.0,0.6666667,2.351025,87.71333,-6.8933334,0.50666666,-12.0,4.5,-3.384603e-08,0.1
289.23874,5.0,2.0,0.0,0.5759714,2.879857,0.90045863,5.4543095,0.79482085,19.870522,3.0158243,0.0,0.13589573,0.3,0.0,0.0,0.3,0.4,-0.30905533,-5.3624096,-5.4383,0.46170002,-6.0,0.0,-1.1504219e-08,0.1
227.97813,3.0,4.0,0.0,0.35197994,1.0559398,0.73069936,5.752786,0.5479019,4.9311175,2.2149167,0.333,0.12379551,0.0,0.0,0.0,0.33333334,0.6666667,1.7501702,43.72566,-5.4936666,1.9063333,-12.0,4.5,-4.3127293e-09,0.1
725.90625,6.0,5.0,0.0,0.11323425,0.6794055,0.30115616,2.2481875,0.34645143,12.472252,1.4613447,0.0,0.0296425,0.06666667,0.2,0.0,0.2,0.33333334,-0.6626482,-22.76488,-14.737866,0.16213335,-15.0,0.0,-4.478469e-09,0.1
653.17975,3.0,5.0,0.0,0.72389865,2.171696,1.2038634,5.961164,0.94417405,8.497566,3.7818868,0.0,0.4546982,0.33333334,0.0,0.0,0.6666667,0.0,1.3662276,29.733335,-14.380667,0.51933336,-15.0,0.0,-1.5539362e-08,0.1
625.3737,3.0,7.0,0.2857143,0.1288402,0.3865206,0.18677773,4.332533,0.14424011,1.298161,0.5854978,0.418,-0.11501002,0.0,0.33333334,0.0,0.0,0.0,1.8171356,72.24049,-14.793001,0.095000006,-14.988001,0.0,-5.5284786e-09,0.1
735.2073,6.0,2.0,0.0,0.2615092,1.5690553,0.8317126,6.6306224,0.8251836,29.706608,3.7025733,0.0,0.14130789,0.26666668,0.13333334,0.0,0.13333334,0.46666667,0.09074497,1.3875604,-0.9541335,0.44586667,-6.0,4.5,-1.0507564e-08,0.1
768.1846,7.0,4.0,0.0,0.32750514,2.292536,0.8032971,5.2453876,0.6390478,31.313341,2.8849611,0.0,0.054433525,0.04761905,0.04761905,0.23809524,0.33333334,0.14285715,-0.070515156,-1.3264954,-5.389619,2.010381,-12.0,4.5,-3.5600072e-09,0.1
413.4925,7.0,6.0,0.0,0.34074712,2.3852298,1.0834197,5.627817,0.604128,29.602272,2.3773131,0.253,0.040032446,0.14285715,0.04761905,0.04761905,0.14285715,0.33333334,-0.006021023,-0.10687113,-13.162952,0.23704764,-18.0,4.5,-5.8389855e-08,0.1
284.48746,7.0,3.0,0.0,0.1513451,1.0594157,0.40092686,5.9575195,0.8315284,40.744892,3.0896916,0.0,0.09118943,0.23809524,0.1904762,0.14285715,0.0952381,0.14285715,-0.401896,-6.3197017,-8.471143,0.42885712,-9.0,0.0,-7.577863e-10,0.1
271.1108,4.0,4.0,0.0,0.56076497,2.2430599,0.7184376,5.4852853,0.611076,9.777216,2.2806401,0.272,0.10497455,0.33333334,0.0,0.16666667,0.0,0.16666667,0.93044424,20.427586,-9.480667,2.4193332,-12.0,0.0,-3.311316e-09,0.1
286.035,7.0,3.0,0.0,0.2572523,1.8007661,0.52314466,4.7854476,0.76359963,37.41638,2.694435,0.0,0.11661022,0.33333334,0.0952381,0.14285715,0.0952381,0.2857143,-0.09762144,-1.9991815,-8.353523,0.54647624,-9.0,0.0,-6.055361e-09,0.1
280.5548,6.0,6.0,0.16666667,0.40871635,2.4522982,0.95995253,7.1749043,1.1521763,41.478344,4.6824427,0.0,0.2542385,0.53333336,0.0,0.06666667,0.2,0.13333334,1.3682332,23.563122,-5.7744675,4.619533,-14.994,4.5,-8.165151e-08,0.1
290.96683,7.0,4.0,0.0,0.3705135,2.5935946,0.7955631,5.3378673,0.60884064,29.833193,2.1934035,0.314,0.029701857,0.1904762,0.04761905,0.04761905,0.0,0.33333334,0.32710457,6.5280437,0.50671387,7.906714,-12.0,4.5,-2.292191e-09,0.1
268.59055,3.0,3.0,0.0,0.32917044,0.9875113,0.89703006,4.5299306,0.50095105,4.508559,2.1484032,0.27,0.08683434,0.0,0.0,0.0,0.0,1.0,0.70408034,18.403244,-8.9,0.0,-9.0,0.0,-2.6817388e-09,0.1
277.74625,5.0,3.0,0.0,0.45278534,2.2639267,0.6310145,6.422609,0.8220294,20.550735,3.3469682,0.288,0.22145987,0.6,0.3,0.1,0.0,0.0,2.2604718,54.31037,-1.4948999,2.9051,-9.0,4.5,-6.4612166e-08,0.1
274.35596,5.0,7.0,0.2857143,0.48336887,2.4168444,0.94522274,6.017196,0.60387045,15.096762,2.2999299,0.277,0.040011503,0.1,0.1,0.0,0.2,0.3,0.48416948,8.750534,-13.203701,0.1843,-17.988,4.5,-4.943835e-09,0.1
