duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
1.413079,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,5.688483,0.95943475,34.53965,3.3912196,0.0,0.18872975,0.4,0.06666667,0.06666667,0.2,0.26666668,1.5969877,39.031887,5.7358675,10.135867,-9.0,4.5,-4.6045386e-08,0.1
1.3178399,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,4.586583,0.41603088,10.400772,1.9456398,0.323,0.12523545,0.6,0.0,0.1,0.3,0.0,3.3881292,282.70837,-2.6747003,4.7253,-12.0,4.5,-8.453799e-10,0.1
1.4400423,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,6.7587767,0.8488901,30.560045,3.497859,0.0,0.2007534,0.6,0.13333334,0.0,0.2,0.06666667,3.912537,137.46338,-8.6462,4.7537994,-18.0,4.5,-7.665166e-08,0.1
1.2920575,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,5.4747715,0.6069669,5.4627023,2.145391,0.425,0.19063021,0.33333334,0.0,0.0,0.0,0.6666667,3.3852773,162.01419,-7.1933336,6.2066665,-18.0,4.5,-2.5911524e-08,0.1
1.3077807,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,4.61283,0.6203606,9.92577,2.6331072,0.277,0.23241033,0.8333333,0.0,0.16666667,0.0,0.0,2.8090718,155.73438,-7.520667,8.879333,-21.0,4.5,-2.5583757e-08,0.1
1.2773213,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,6.022403,0.7825806,12.52129,2.5746622,0.0,0.25377628,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,3.7446437,164.40034,5.97,4.37,-3.0,4.5,-1.0550118e-07,0.1
6.2932014,5.0,1.0,0.0,0.4087936,2.043968,1.002823,5.31777,0.9151186,22.877964,4.1091146,0.0,0.22900644,0.4,0.2,0.1,0.1,0.2,0.12709379,2.4484992,9.8745,8.2745,-3.0,4.5,-4.1525325e-08,0.1
1.5927081,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,5.156423,0.699305,11.18888,2.8114038,0.255,0.21138166,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,0.9315176,22.048246,-4.53,4.37,-9.0,0.0,-3.43762e-08,0.1
1.850318,7.0,3.0,0.0,0.10358112,0.72506785,0.29287323,4.328193,0.5777805,28.311243,2.4278576,0.0,0.06851057,0.0952381,0.1904762,0.14285715,0.23809524,0.33333334,-0.1642828,-3.6568403,-0.38557148,4.0144286,-9.0,4.5,-4.88171e-09,0.1
1.6023383,3.0,4.0,0.0,0.24267818,0.72803456,0.3493567,5.178052,0.3465272,3.1187446,1.2415955,0.429,0.06653496,0.33333334,0.0,0.0,0.0,0.6666667,2.4977012,93.1856,-3.0933337,4.3066664,-12.0,4.5,-1.3822333e-08,0.1
1.7161717,5.0,2.0,0.0,0.5759714,2.879857,0.90045863,3.4675636,0.8107617,20.269043,2.7512865,0.0,0.14386615,0.3,0.0,0.0,0.6,0.1,-2.2958012,-39.834393,8.5674,9.9674,-6.0,4.5,-1.3693152e-08,0.1
1.7990384,3.0,4.0,0.0,0.35197994,1.0559398,0.73069936,10.2507,1.0912557,9.8213005,4.3038983,0.333,0.66714907,0.6666667,0.33333334,0.0,0.0,0.0,6.248084,156.1,-2.4916668,4.908334,-12.0,4.5,-5.6156705e-07,0.1
1.6319757,6.0,5.0,0.0,0.11323425,0.6794055,0.30115616,3.652815,0.51311934,18.472296,2.187032,0.0,0.096309654,0.26666668,0.46666667,0.0,0.2,0.06666667,0.74197936,25.490248,-6.057867,4.3421335,-15.0,4.5,-2.0239751e-08,0.1
3.7575366,3.0,5.0,0.0,0.72389865,2.171696,1.2038634,2.609434,0.7172431,6.455188,2.7606974,0.0,0.22776718,0.33333334,0.0,0.0,0.0,0.6666667,-1.9855025,-43.210663,-4.1933336,6.2066665,-15.0,4.5,-7.263228e-09,0.1
3.3321817,3.0,7.0,0.5714286,0.1288402,0.3865206,0.18677773,6.9705544,0.37062672,3.3356404,1.6042376,0.418,0.111376576,0.33333334,0.0,0.0,0.6666667,0.0,4.4551573,177.11545,-6.0566673,4.319333,-14.976,4.5,-2.0202138e-07,0.1
4.5219355,6.0,2.0,0.0,0.2615092,1.5690553,0.8317126,6.696396,0.85452086,30.76275,3.6926856,0.0,0.15304281,0.26666668,0.13333334,0.06666667,0.2,0.33333334,0.15651846,2.3932934,4.7521996,6.1521997,-6.0,4.5,-1.2345706e-07,0.1
4.416609,7.0,4.0,0.5,0.32750514,2.292536,0.8032971,9.27898,1.278637,62.653214,5.7517076,0.0,0.26762995,0.71428573,0.1904762,0.0,0.0,0.0952381,3.9630775,74.55135,6.2519994,10.639999,-8.988,4.5,-2.7944137e-07,0.1
4.898157,7.0,6.0,0.0,0.34074712,2.3852298,1.0834197,4.5608907,0.76647043,37.557053,3.4421062,0.253,0.09414662,0.1904762,0.14285715,0.14285715,0.14285715,0.3809524,-1.0729475,-19.044697,-8.05619,9.84381,-18.0,0.0,-4.0869853e-08,0.1
2.0675523,7.0,3.0,0.0,0.1513451,1.0594157,0.40092686,7.3055296,0.95522153,46.805855,4.0781655,0.0,0.1324205,0.2857143,0.0952381,0.1904762,0.14285715,0.2857143,0.94611406,14.877378,-0.121381305,4.278619,-9.0,4.5,-2.2570068e-08,0.1
1.582452,4.0,4.0,0.0,0.56076497,2.2430599,0.7184376,5.3499093,1.0360355,16.576569,3.9440985,0.272,0.38828087,0.5,0.33333334,0.0,0.0,0.16666667,0.79506826,17.45546,1.0550002,8.455,-12.0,4.5,-9.035681e-08,0.1
