duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
1.5294328,0.0,0.77414757,2.3224428,0.9518631,4.8162107,0.5463496,4.917146,1.8390191,0.471,0.37559903,1.0,0.0,0.0,0.0,0.0,9.18,1.0
1.4812315,0.0,0.44877067,3.1413946,1.26676,5.1599994,0.80887324,39.63479,4.015909,0.0,0.110652626,0.2857143,0.14285715,0.14285715,0.14285715,0.23809524,-5.5885715,1.0
1.3858702,1.0,0.084538646,0.33815458,0.19858822,5.376461,0.6828385,10.925416,2.560263,0.0,0.31290853,1.0,0.0,0.0,0.0,0.0,-2.0259998,1.0
1.4721525,0.0,0.18770872,0.7508349,0.39970523,7.399598,0.91207486,14.593198,3.8674498,0.0,0.35060692,0.5,0.0,0.0,0.16666667,0.33333334,6.9368334,1.0
1.5315135,0.0,0.4917706,1.4753118,0.97311664,4.377157,0.63841504,5.745735,2.722888,0.379,0.36658707,0.6666667,0.0,0.0,0.0,0.33333334,2.586667,1.0
1.9784286,0.0,0.30450487,2.131534,0.83303416,4.6346517,0.78225887,38.330685,2.680281,0.0,0.077970855,0.1904762,0.0952381,0.0,0.2857143,0.42857143,-0.9220953,0.0
1.9081192,0.0,0.4741457,2.3707285,0.6049681,5.4602165,0.96601045,24.15026,3.4810066,0.0,0.2268785,0.4,0.2,0.1,0.3,0.0,1.7216997,0.0
1.8715258,1.0,0.42043883,1.6817553,0.60661906,5.590401,0.97919524,15.667124,3.45245,0.0,0.31443936,0.5,0.33333334,0.0,0.16666667,0.0,1.9298315,1.0
2.183498,0.0,0.3060884,2.1426187,0.71225274,6.7163086,0.9066397,44.425346,3.9876444,0.0,0.13356376,0.2857143,0.04761905,0.14285715,0.1904762,0.33333334,-2.5623338,1.0
1.5010762,0.0,0.61957985,3.7174792,0.88958126,5.4292636,1.0824142,38.966908,4.0530386,0.0,0.269869,0.8,0.13333334,0.0,0.0,0.06666667,-9.354,1.0
