duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
7.996628,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,2.8619146,0.5570701,20.054523,1.8628857,0.0,0.027783925,0.2,0.06666667,0.0,0.0,0.33333334,-1.2295809,-30.052113,3.5229998,7.923,-9.0,4.5,-1.5871343e-08,0.1
4.3133583,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,4.4656744,0.32779548,8.194887,1.5172992,0.323,0.08111776,0.5,0.0,0.1,0.2,0.0,3.2672205,272.61966,-3.5285997,8.3714,-12.0,0.0,-9.612669e-09,0.1
2.226529,6.0,6.0,0.5,0.15529706,0.93178236,0.52251905,3.756759,0.47543573,17.115686,2.0009956,0.0,0.051371664,0.13333334,0.2,0.0,0.2,0.13333334,0.91051936,31.990253,-2.5185342,7.8634663,-14.982,4.5,-5.2232448e-08,0.1
4.511854,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,2.700517,0.54218364,4.879653,1.8733307,0.425,0.12584697,0.33333334,0.0,0.0,0.0,0.33333334,0.6110227,29.24261,-9.093334,4.3066664,-18.0,4.5,-1.5392866e-08,0.1
6.6563654,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,2.0893102,0.3770221,6.0323534,1.4355032,0.277,0.07018463,0.33333334,0.0,0.16666667,0.16666667,0.16666667,0.2855518,15.830935,-8.277499,8.1225,-21.0,4.5,-6.8509443e-09,0.1
2.1791792,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,2.858306,0.4573644,7.3178306,1.6843586,0.0,0.03696551,0.16666667,0.0,0.0,0.0,0.5,0.58054686,25.487637,7.5533333,5.9533334,-3.0,4.5,-5.854653e-09,0.1
26.863567,5.0,1.0,0.0,0.4087936,2.043968,1.002823,1.4321967,0.46105966,11.526491,1.9566734,0.0,0.0019770048,0.0,0.2,0.0,0.1,0.3,-3.7584796,-72.40828,7.3588996,5.7588997,-3.0,4.5,-3.757975e-09,0.1
2.966725,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,2.0999622,0.40612718,6.498035,1.3651588,0.255,0.015929822,0.0,0.0,0.0,0.16666667,0.5,-2.1249433,-50.29564,1.3031669,5.703167,-9.0,4.5,-1.4695709e-09,0.1
2.8487024,7.0,3.0,0.0,0.10358112,0.72506785,0.29287323,2.6056979,0.2353641,11.532841,1.2224283,0.0,-0.0456282,0.0,0.0,0.0,0.04761905,0.1904762,-1.8867781,-41.998627,-1.2990952,7.600905,-9.0,0.0,-1.4799916e-08,0.1
2.9665477,3.0,4.0,0.0,0.24267818,0.72803456,0.3493567,4.615793,0.36952913,3.3257623,1.345104,0.429,0.089536905,0.33333334,0.0,0.0,0.0,0.6666667,1.9354424,72.20855,-1.1933337,6.2066665,-12.0,4.5,-8.963754e-08,0.1
