duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
0.17003942,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,5.6884465,0.95942944,34.53946,3.3911996,0.0,0.18872763,0.4,0.06666667,0.06666667,0.2,0.26666668,1.596951,39.030983,5.7358675,10.135867,-9.0,4.5,-4.603852e-08,0.1
0.17111611,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,4.5770874,0.41353312,10.338328,1.9330809,0.323,0.12398658,0.6,0.0,0.1,0.2,0.1,3.3786335,281.91605,-5.2766,6.6234,-12.0,0.0,-7.42218e-10,0.1
0.1290896,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,6.758774,0.8488937,30.560173,3.4978805,0.0,0.20075484,0.6,0.13333334,0.0,0.2,0.06666667,3.9125342,137.46329,-8.6462,4.7537994,-18.0,4.5,-7.670071e-08,0.1
0.14480257,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,5.474838,0.6069734,5.462761,2.145421,0.425,0.1906368,0.33333334,0.0,0.0,0.0,0.6666667,3.3853436,162.01736,-7.1933336,6.2066665,-18.0,4.5,-2.5915469e-08,0.1
0.13489103,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,4.6127005,0.62034893,9.925583,2.6330445,0.277,0.23240249,0.8333333,0.0,0.16666667,0.0,0.0,2.808942,155.72717,-7.520667,8.879333,-21.0,4.5,-2.5576279e-08,0.1
0.11167526,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,6.0223894,0.78258073,12.521292,2.5746598,0.0,0.25377643,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,3.7446303,164.39975,5.97,4.37,-3.0,4.5,-1.0552068e-07,0.1
0.13994503,5.0,1.0,0.0,0.4087936,2.043968,1.002823,5.342676,0.9183031,22.957577,4.1193,0.0,0.23059872,0.4,0.3,0.0,0.1,0.2,0.15199995,2.9283285,9.895401,8.295401,-3.0,4.5,-4.168051e-08,0.1
0.19922256,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,5.156384,0.69930094,11.188815,2.8113892,0.255,0.21137899,0.33333334,0.16666667,0.16666667,0.16666667,0.16666667,0.9314785,22.047318,-4.53,4.37,-9.0,0.0,-3.4380385e-08,0.1
0.14938402,7.0,3.0,0.0,0.10358112,0.72506785,0.29287323,4.3282576,0.57778764,28.311594,2.4278579,0.0,0.06851297,0.0952381,0.1904762,0.14285715,0.23809524,0.33333334,-0.16421843,-3.6554098,-0.38557148,4.0144286,-9.0,4.5,-4.881288e-09,0.1
0.13179564,3.0,4.0,0.0,0.24267818,0.72803456,0.3493567,5.17808,0.34652793,3.1187515,1.2415988,0.429,0.06653575,0.33333334,0.0,0.0,0.0,0.6666667,2.4977293,93.18665,-3.0933337,4.3066664,-12.0,4.5,-1.3822377e-08,0.1
0.15031481,5.0,2.0,0.0,0.5759714,2.879857,0.90045863,3.467547,0.8107598,20.268995,2.7512736,0.0,0.1438652,0.3,0.0,0.0,0.6,0.1,-2.2958179,-39.83468,8.5674,9.9674,-6.0,4.5,-1.3694771e-08,0.1
0.16564226,3.0,4.0,0.0,0.35197994,1.0559398,0.73069936,10.25065,1.0912559,9.821303,4.3038974,0.333,0.66714936,0.6666667,0.33333334,0.0,0.0,0.0,6.2480345,156.09877,-2.4916668,4.908334,-12.0,4.5,-5.6111276e-07,0.1
0.13599491,6.0,5.0,0.0,0.11323425,0.6794055,0.30115616,3.6528444,0.51312554,18.472519,2.1870797,0.0,0.096312135,0.26666668,0.46666667,0.0,0.2,0.06666667,0.7420087,25.49126,-6.057867,4.3421335,-15.0,4.5,-2.0234943e-08,0.1
0.33087158,3.0,5.0,0.0,0.72389865,2.171696,1.2038634,2.609418,0.7172398,6.455158,2.7606826,0.0,0.2277639,0.33333334,0.0,0.0,0.0,0.6666667,-1.9855185,-43.211014,-4.1933336,6.2066665,-15.0,4.5,-7.263079e-09,0.1
0.41620564,3.0,7.0,0.5714286,0.1288402,0.3865206,0.18677773,6.9704776,0.37062067,3.335586,1.6042104,0.418,0.11137053,0.33333334,0.0,0.0,0.6666667,0.0,4.45508,177.1124,-6.0566673,4.319333,-14.976,4.5,-2.0201249e-07,0.1
0.44951677,6.0,2.0,0.0,0.2615092,1.5690553,0.8317126,6.7581415,0.8630483,31.06974,3.695746,0.0,0.15645377,0.26666668,0.13333334,0.06666667,0.33333334,0.2,0.2182641,3.337431,6.6547337,8.054733,-6.0,4.5,-1.3074879e-07,0.1
0.39959884,7.0,4.0,0.5,0.32750514,2.292536,0.8032971,9.278866,1.2786188,62.65232,5.751605,0.0,0.2676239,0.71428573,0.1904762,0.0,0.0,0.0952381,3.962963,74.549194,6.2519994,10.639999,-8.988,4.5,-2.7940743e-07,0.1
0.4495921,7.0,6.0,0.0,0.34074712,2.3852298,1.0834197,4.5230446,0.76441723,37.456444,3.4354053,0.253,0.093462184,0.1904762,0.14285715,0.14285715,0.14285715,0.3809524,-1.1107936,-19.71646,-6.15619,11.74381,-18.0,0.0,-3.8327585e-08,0.1
0.16529703,7.0,3.0,0.0,0.1513451,1.0594157,0.40092686,7.30801,0.95447904,46.769474,4.083981,0.0,0.13217297,0.2857143,0.14285715,0.14285715,0.14285715,0.2857143,0.94859457,14.916384,1.7885714,6.1885715,-9.0,4.5,-2.4262418e-08,0.1
0.14980483,4.0,4.0,0.0,0.56076497,2.2430599,0.7184376,5.349875,1.0360394,16.57663,3.9441147,0.272,0.3882834,0.5,0.33333334,0.0,0.0,0.16666667,0.79503393,17.454708,1.0550002,8.455,-12.0,4.5,-9.035742e-08,0.1
0.18082356,7.0,3.0,0.33333334,0.2572523,1.8007661,0.52314466,6.505745,0.96568274,47.318455,3.7720985,0.0,0.18397127,0.47619048,0.1904762,0.0952381,0.0952381,0.14285715,1.6226759,33.230663,10.793142,12.187142,-5.994,4.5,-2.1325086e-07,0.1
0.17067862,6.0,6.0,0.0,0.40871635,2.4522982,0.95995253,6.0654044,1.0897777,39.232,4.0226,0.0,0.22927909,0.33333334,0.33333334,0.06666667,0.13333334,0.13333334,0.25873327,4.455793,-3.2907324,10.109267,-18.0,4.5,-8.350636e-08,0.1
0.13895822,7.0,4.0,0.0,0.3705135,2.5935946,0.7955631,5.623754,0.8951651,43.86309,3.264663,0.314,0.12514332,0.33333334,0.14285715,0.0952381,0.33333334,0.0952381,0.61299133,12.233496,2.6609526,10.060952,-12.0,4.5,-1.2819956e-08,0.1
0.14977455,3.0,3.0,0.0,0.32917044,0.9875113,0.89703006,5.5417356,0.78276634,7.044897,3.4361615,0.27,0.3686497,0.33333334,0.33333334,0.0,0.0,0.33333334,1.7158854,44.849777,-1.8983337,2.5016668,-9.0,4.5,-1.419853e-07,0.1
0.17388606,5.0,3.0,0.0,0.45278534,2.2639267,0.6310145,5.619814,0.82432467,20.608116,3.3663764,0.288,0.22260742,0.6,0.3,0.1,0.0,0.0,1.4576769,35.02232,6.1051006,10.5051,-9.0,4.5,-1.602652e-08,0.1
0.13949704,5.0,7.0,0.42857143,0.48336887,2.4168444,0.94522274,3.5155048,0.71969086,17.992271,2.7020762,0.277,0.097921714,0.1,0.2,0.0,0.3,0.4,-2.0175219,-36.46326,-8.1673,9.7147,-17.982,0.0,-6.146901e-09,0.1
0.13720965,7.0,5.0,0.0,0.37989447,2.6592612,0.7423269,2.9313264,0.65266365,31.980518,2.8124459,0.262,0.08437321,0.2857143,0.04761905,0.04761905,0.2857143,0.33333334,-2.8480601,-49.279625,-0.4430952,9.956904,-15.0,4.5,-5.994874e-09,0.1
0.15116763,4.0,6.0,0.0,0.12320009,0.49280035,0.23957726,4.708752,0.536083,8.577328,2.5626724,0.281,0.1537714,0.16666667,0.16666667,0.16666667,0.33333334,0.16666667,1.4218435,43.257774,-9.280167,4.119833,-18.0,4.5,-9.119712e-09,0.1
0.13445401,3.0,7.0,0.2857143,0.21337132,0.64011395,0.28307742,4.3228865,0.6243014,5.6187124,2.576542,0.326,0.25547832,0.0,0.6666667,0.33333334,0.0,0.0,0.8175392,23.32263,-11.972666,5.9153333,-17.987999,0.0,-4.019414e-09,0.1
0.14583468,3.0,3.0,0.0,0.2134357,0.64030707,0.5061743,6.437179,0.70954686,6.385922,3.0738251,0.312,0.38084102,0.33333334,0.33333334,0.0,0.0,0.33333334,3.3529222,108.71086,0.0016665116,4.4016666,-9.0,4.5,-3.4238752e-08,0.1
0.16757679,4.0,3.0,0.0,0.3233298,1.2933192,0.46204212,4.6125803,0.79825157,12.772025,3.0881445,0.261,0.2088803,0.33333334,0.16666667,0.0,0.33333334,0.16666667,-0.5731516,-11.052471,1.8604999,6.2605,-9.0,4.5,-1.9883434e-08,0.1
0.19721198,7.0,4.0,0.0,0.3092429,2.1647003,0.603815,5.851367,0.977509,47.89794,3.440303,0.0,0.13207586,0.42857143,0.0,0.04761905,0.42857143,0.0952381,-1.198484,-17.000134,4.663191,12.06319,-12.0,4.5,-5.37093e-09,0.1
0.14948511,3.0,1.0,0.0,0.38647762,1.1594329,0.67256725,5.7053013,0.82791847,7.4512663,3.610246,0.289,0.4089395,0.33333334,0.33333334,0.0,0.33333334,0.0,1.8201942,46.85055,7.9079995,6.3079996,-3.0,4.5,-2.980843e-09,0.1
0.15667129,6.0,2.0,0.0,0.47927555,2.8756533,0.8604758,6.406293,1.1324553,40.76839,4.286189,0.0,0.24768342,0.46666667,0.26666668,0.0,0.2,0.06666667,0.6881399,12.034309,8.889133,10.289133,-6.0,4.5,-1.6179021e-07,0.1
0.16645288,5.0,6.0,0.0,0.42030105,2.1015053,0.5314073,4.4915037,0.76847535,19.211884,3.026957,0.0,0.16073202,0.3,0.1,0.1,0.2,0.3,-0.9054737,-16.77742,-3.4040995,9.9959,-18.0,4.5,-1.3317804e-08,0.1
0.1666317,4.0,3.0,0.0,0.33293605,1.3317442,0.5186023,3.8653975,0.65993756,10.559001,2.3916836,0.0,0.10837062,0.0,0.0,0.0,0.5,0.5,-1.2746592,-24.798542,-3.1904998,5.7095003,-9.0,0.0,-1.8999293e-08,0.1
0.1510179,5.0,7.0,0.0,0.14425972,0.7212986,0.4248087,4.3631983,0.5235432,13.088579,2.4284303,0.306,0.079955645,0.0,0.2,0.0,0.4,0.4,0.63073945,16.898764,-12.5354,3.8645997,-21.0,4.5,-9.102636e-09,0.1
0.14470816,4.0,3.0,0.0,0.1348997,0.5395988,0.16138972,5.9071794,0.742294,11.876704,2.550434,0.0,0.261672,0.33333334,0.16666667,0.33333334,0.16666667,0.0,2.3994122,68.40284,1.8826665,6.2826667,-9.0,4.5,-1.3714684e-07,0.1
0.15935016,4.0,6.0,0.0,0.3881672,1.5526688,0.56046563,4.624583,0.6647513,10.636021,2.6366115,0.28,0.081311986,0.0,0.0,0.0,0.16666667,0.8333333,-0.9759588,-17.426151,-7.6968327,5.703167,-18.0,4.5,-5.3021047e-08,0.1
0.18309212,6.0,3.0,0.0,0.57537824,3.4522696,1.172013,5.2971506,1.0743219,38.675587,3.812914,0.255,0.24703462,0.73333335,0.26666668,0.0,0.0,0.0,0.3041091,6.090653,1.7906666,10.690666,-9.0,0.0,-6.941722e-09,0.1
0.15222383,6.0,4.0,0.75,0.3477008,2.0862048,0.6361811,4.4528723,0.7704595,27.736542,3.0787284,0.0,0.16758873,0.6,0.2,0.0,0.2,0.0,0.59887075,15.538931,7.9908,12.3728,-8.982,4.5,-2.506778e-09,0.1
0.13152075,5.0,1.0,0.0,0.26045296,1.3022648,0.64514977,6.3001456,0.9045227,22.613068,3.5985754,0.271,0.23956302,0.5,0.1,0.0,0.4,0.0,1.9797502,45.82336,6.1961,4.5961003,-3.0,4.5,-1.5185582e-07,0.1
0.15006232,5.0,5.0,0.0,0.3083618,1.541809,0.56571555,3.8624868,0.5488699,13.721747,2.418799,0.355,0.08665098,0.3,0.2,0.0,0.0,0.5,-0.89345837,-18.786139,-4.1870003,6.213,-15.0,4.5,-3.658398e-08,0.1
