duration,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,reward,self-intersections
0.4140296,0.0,0.77414757,2.3224428,0.9518631,3.642762,0.5392179,4.852961,1.8069263,0.471,0.36846733,1.0,0.0,0.0,0.0,0.0,9.18,1.0
0.45055223,0.0,0.44877067,3.1413946,1.26676,3.988185,0.715224,35.04598,3.4889047,0.0,0.07943622,0.23809524,0.0952381,0.0952381,0.14285715,0.3809524,-5.4990005,1.0
7.616335,0.0,0.084538646,0.33815458,0.19858822,4.4635415,0.5782245,9.251592,2.1368015,0.0,0.24316585,0.8333333,0.16666667,0.0,0.0,0.0,-0.7141661,1.0
0.4884646,0.0,0.18770872,0.7508349,0.39970523,5.6652994,0.73119783,11.699165,3.090343,0.0,0.23002219,0.5,0.0,0.0,0.0,0.33333334,8.84,1.0
0.44777274,0.0,0.4917706,1.4753118,0.97311664,3.2661288,0.5599953,5.0399575,2.3930511,0.379,0.28816736,0.33333334,0.33333334,0.0,0.0,0.33333334,2.9983335,1.0
7.4363585,0.0,0.30450487,2.131534,0.83303416,4.4907155,0.7659012,37.52916,2.6292534,0.0,0.072518304,0.1904762,0.0952381,0.0,0.2857143,0.42857143,-0.9220953,0.0
0.44687843,0.0,0.4741457,2.3707285,0.6049681,4.136759,0.8245019,20.612547,2.8450036,0.0,0.15612423,0.4,0.1,0.1,0.1,0.3,1.7539997,0.0
0.6460602,0.0,0.42043883,1.6817553,0.60661906,4.267992,0.8238939,13.182302,2.8933306,0.0,0.21090516,0.16666667,0.33333334,0.16666667,0.16666667,0.16666667,5.435833,1.0
10.208831,0.0,0.3060884,2.1426187,0.71225274,5.902947,0.8289914,40.62058,3.5908957,0.0,0.10768102,0.2857143,0.0,0.04761905,0.1904762,0.42857143,-2.5415237,1.0
6.428574,1.0,0.61957985,3.7174792,0.88958126,4.752211,1.0116236,36.41845,3.7441292,0.0,0.24155281,0.6666667,0.2,0.06666667,0.0,0.06666667,-14.0814,1.0
0.49548626,0.0,0.5164462,1.5493385,1.0434902,4.862969,0.83234817,7.4911337,2.702077,0.373,0.40052998,0.33333334,0.6666667,0.0,0.0,0.0,11.903334,1.0
0.52791405,0.0,0.17080235,0.8540118,0.28222418,4.9529915,0.6106913,15.2672825,2.850342,0.276,0.1307489,0.3,0.2,0.0,0.2,0.2,-9.7168,1.0
0.4348235,0.0,0.34822977,1.7411488,0.5744208,3.6471682,0.43130317,10.782579,1.3175668,0.403,0.063585006,0.3,0.1,0.1,0.0,0.4,-2.5921001,1.0
14.672469,1.0,0.3357394,2.3501759,0.93042266,5.493793,0.94458234,46.284534,4.182183,0.0,0.15019622,0.33333334,0.23809524,0.04761905,0.0952381,0.2857143,3.260048,1.0
8.767976,0.0,0.17569627,0.7027851,0.38340792,5.5948486,0.47141442,7.5426307,2.0660722,0.385,0.056236595,0.0,0.0,0.0,0.16666667,0.8333333,17.096832,0.0
