duration,n_vertiports,n_obstacles,obstacle violation,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
0.4439063,6.0,3.0,0.0,0.48567247,2.9140348,0.8330357,4.3053503,0.82310635,29.631828,2.7785838,0.0,0.13419838,0.33333334,0.06666667,0.06666667,0.06666667,0.4,0.21385479,5.2268147,5.632001,10.032001,-9.0,4.5,-1.8672287e-08,0.1
0.41483712,5.0,4.0,0.0,0.094441846,0.47220922,0.12575863,3.4789195,0.3352528,8.38132,1.5365815,0.323,0.08484642,0.5,0.1,0.1,0.0,0.3,2.2804656,190.284,-7.3039,4.5961003,-12.0,0.0,-7.358529e-10,0.1
6.5092654,6.0,6.0,0.0,0.15529706,0.93178236,0.52251905,6.3701887,0.8083137,29.099295,3.3480167,0.0,0.18452287,0.6,0.06666667,0.06666667,0.13333334,0.13333334,3.5239491,123.8107,-8.6614,4.7386,-18.0,4.5,-6.1773186e-08,0.1
0.36550832,3.0,6.0,0.0,0.6785009,2.0355027,1.1404964,4.187969,0.57243526,5.1519175,1.9996656,0.425,0.15609862,0.33333334,0.0,0.0,0.0,0.6666667,2.098475,100.429794,-7.1933336,6.2066665,-18.0,4.5,-2.2103922e-08,0.1
0.44536614,4.0,7.0,0.0,0.42683667,1.7073467,0.8583458,3.444101,0.5438814,8.702103,2.260068,0.277,0.18142419,0.6666667,0.16666667,0.16666667,0.0,0.0,1.6403427,90.94027,-7.7264996,8.6735,-21.0,4.5,-1.717353e-08,0.1
7.7127094,4.0,1.0,0.0,0.21062285,0.8424914,0.4815192,5.301566,0.7070944,11.31351,2.3309426,0.0,0.20345214,0.33333334,0.16666667,0.0,0.33333334,0.16666667,3.023807,132.75359,5.9605,4.3605,-3.0,4.5,-9.296952e-08,0.1
0.35785604,5.0,1.0,0.0,0.4087936,2.043968,1.002823,4.014049,0.7730408,19.32602,3.455742,0.0,0.15796755,0.3,0.1,0.2,0.1,0.2,-1.1766272,-22.668087,9.7016,8.1016,-3.0,4.5,-2.9797889e-08,0.1
8.63351,4.0,3.0,0.0,0.23584579,0.94338316,0.4043679,4.7083673,0.6532936,10.452698,2.6050236,0.255,0.18070747,0.33333334,0.0,0.16666667,0.16666667,0.33333334,0.48346186,11.443138,-4.5775,4.3225,-9.0,0.0,-3.441604e-08,0.1
8.917681,7.0,3.0,0.0,0.10358112,0.72506785,0.29287323,4.245836,0.5684577,27.85443,2.3849795,0.0,0.06540302,0.0952381,0.1904762,0.14285715,0.23809524,0.33333334,-0.2466402,-5.4900703,-0.38557148,4.0144286,-9.0,4.5,-4.9841e-09,0.1
0.40051103,3.0,4.0,0.0,0.24267818,0.72803456,0.3493567,3.9038036,0.30246922,2.722223,1.0433346,0.429,0.02247703,0.33333334,0.0,0.0,0.0,0.0,1.2234528,45.64525,-3.0933337,4.3066664,-12.0,4.5,-5.9157568e-09,0.1
0.46774602,5.0,2.0,0.0,0.5759714,2.879857,0.90045863,2.5696077,0.7200557,18.001392,2.3770635,0.0,0.098513134,0.3,0.0,0.0,0.0,0.7,-3.193757,-55.414795,8.556,9.955999,-6.0,4.5,-1.0902204e-08,0.1
0.5998447,3.0,4.0,0.0,0.35197994,1.0559398,0.73069936,8.256487,0.92591625,8.333246,3.6338382,0.333,0.5018097,0.6666667,0.33333334,0.0,0.0,0.0,4.253871,106.277275,-2.4916666,4.908334,-12.0,4.5,-2.96605e-07,0.1
5.4231815,6.0,5.0,0.0,0.11323425,0.6794055,0.30115616,3.2585275,0.46868175,16.872543,2.0118089,0.0,0.07853463,0.26666668,0.46666667,0.0,0.06666667,0.2,0.34769177,11.944735,-6.0604,4.3395996,-15.0,4.5,-1.8804608e-08,0.1
1.0331526,3.0,5.0,0.0,0.72389865,2.171696,1.2038634,1.9405802,0.65424114,5.8881702,2.4771886,0.0,0.16476527,0.33333334,0.0,0.0,0.0,0.6666667,-2.654356,-57.766987,-4.1933336,6.2066665,-15.0,4.5,-5.151696e-09,0.1
1.3171341,3.0,7.0,0.0,0.1288402,0.3865206,0.18677773,5.3280845,0.3039082,2.7351737,1.3040042,0.418,0.04465805,0.33333334,0.0,0.0,0.0,0.6666667,2.8126872,111.81882,-12.093334,4.3066664,-21.0,4.5,-8.217246e-08,0.1
