spline points,lon,lat
0,-0.1389349,-0.74072444
1,-0.13055083,-0.7411594
2,-0.121959165,-0.7417835
3,-0.11316519,-0.74259186
4,-0.104174234,-0.74357957
5,-0.09499161,-0.7447416
6,-0.08562261,-0.74607325
7,-0.07607257,-0.7475694
8,-0.066346794,-0.7492252
9,-0.056450605,-0.7510358
10,-0.046389297,-0.7529962
11,-0.036168188,-0.7551015
12,-0.025792606,-0.7573468
13,-0.015267856,-0.7597272
14,-0.0045992285,-0.7622377
15,0.006207913,-0.7648735
16,0.017148316,-0.7676297
17,0.02821663,-0.7705012
18,0.039407536,-0.7734832
19,0.05071576,-0.7765708
20,0.06213592,-0.77975905
21,0.0736628,-0.7830431
22,0.08529101,-0.7864179
23,0.09701526,-0.78987867
24,0.10883026,-0.79342043
25,0.12073065,-0.79703826
26,0.13271116,-0.8007272
27,0.14476644,-0.80448246
28,0.15689124,-0.808299
29,0.16908015,-0.81217194
30,0.18132792,-0.8160964
31,0.19362928,-0.82006747
32,0.2059788,-0.8240801
33,0.21837129,-0.8281296
34,0.23080136,-0.83221084
35,0.24326368,-0.836319
36,0.25575304,-0.8404492
37,0.26826406,-0.84459645
38,0.2807914,-0.84875584
39,0.29332972,-0.8529225
40,0.30587387,-0.8570915
41,0.31841832,-0.8612579
42,0.33095795,-0.86541677
43,0.34348732,-0.8695632
44,0.3560012,-0.8736924
45,0.3684942,-0.8777993
46,0.38096106,-0.881879
47,0.39339656,-0.88592654
48,0.4057951,-0.88993716
49,0.41815168,-0.8939058
50,0.43046075,-0.8978277
51,0.4427172,-0.90169775
52,0.45491558,-0.90551114
53,0.46705055,-0.90926296
54,0.47911704,-0.9129483
55,0.49110943,-0.9165622
56,0.5030225,-0.92009974
57,0.5148511,-0.9235561
58,0.5265897,-0.9269262
59,0.53823304,-0.9302052
60,0.5497759,-0.93338823
61,0.5612129,-0.9364704
62,0.5725388,-0.9394466
63,0.5837481,-0.9423121
64,0.59483576,-0.945062
65,0.6057962,-0.9476912
66,0.6166243,-0.95019495
67,0.62731475,-0.9525683
68,0.6378621,-0.95480627
69,0.648261,-0.956904
70,0.6585064,-0.9588565
71,0.6685927,-0.960659
72,0.6785147,-0.96230644
73,0.68826723,-0.963794
