q1 loss,q2 loss,pi loss,alpha loss,alpha,avg_transitions,cum_transitions,max_transitions,corridor_length,avg_operation_length,cum_operation_length,max_operation_length,unexploited_regions,avgSF_extra-flown distance,>100SF_extra-flown distance,<100SF_extra-flown distance,<65SF_extra-flown distance,<50SF_extra-flown distance,<30SF_extra-flown distance,TSP,TSP_pourcentage,weighted global reward,vertiports reward,obstacles reward,airspace intersection reward,corridor curvature reward,corridor length reward
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.2293459,1.3760754,0.75244147,7.9928775,1.1299626,40.678654,4.5846586,151,0.248316,0.53333336,0.06666667,0.06666667,0.2,0.13333334,4.3015842,116.53328,2.1993058,6.7614665,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.14584066,0.875044,0.4919425,9.1630745,1.1901023,42.843685,5.018691,0,0.30494332,0.6666667,0.06666667,0.0,0.06666667,0.2,5.9606757,186.13159,1.9938213,6.565133,0.0,-4.5,-9.3604685e-05,-0.07121817
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.39083627,2.3450177,0.58126634,7.9928775,1.0583552,38.10079,4.226527,218,0.3044602,0.8,0.06666667,0.0,0.06666667,0.06666667,5.7522335,256.72238,-5.798427,-1.2362667,0.0,-4.5,-3.7663947e-05,-0.06212305
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.19117521,1.1470512,0.27121696,8.3622675,0.2729122,9.82484,0.95118344,289,0.042907488,0.33333334,0.0,0.06666667,0.46666667,0.13333334,7.342805,720.2625,-1.2860793,3.2794,0.0,-4.5,-0.00048527168,-0.06499406
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.24268968,1.4561381,0.37848994,9.450525,1.3179902,47.447647,5.042229,0,0.35000858,0.73333335,0.0,0.0,0.26666668,0.0,6.36009,205.79915,-5.693209,-1.1197333,0.0,-4.5,-2.357987e-05,-0.07345232
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.3390015,2.034009,0.92386925,7.9746523,1.2536088,45.129917,5.108761,0,0.29536396,0.6666667,0.0,0.06666667,0.26666668,0.0,3.408125,74.63275,-5.5854936,-1.0234667,0.0,-4.5,-4.5896242e-05,-0.0619814
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.3589251,2.1535506,0.9941089,7.769226,0.94015855,33.845707,5.016202,158,0.21700971,0.33333334,0.06666667,0.0,0.33333334,0.26666668,4.679508,151.45421,-3.27348,1.2869333,0.0,-4.5,-2.8719503e-05,-0.06038476
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.3170226,1.9021356,0.6598459,7.348238,1.0702701,38.529724,4.314288,161,0.24659324,0.53333336,0.13333334,0.06666667,0.26666668,0.0,3.9704309,117.544624,-1.6159503,2.9412,0.0,-4.5,-3.7714293e-05,-0.05711272
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.24998961,1.4999377,0.5192396,10.495027,1.4305843,51.501034,6.1372623,0,0.4055364,0.73333335,0.06666667,0.06666667,0.13333334,0.0,7.240425,222.46733,-1.9228765,2.6587331,0.0,-4.5,-3.9046714e-05,-0.0815705
11184.8955,11194.368,79.26594,-10.203099,1.2010084,0.45463553,2.7278132,0.7491832,7.9928775,0.5749814,20.69933,1.5548664,278,0.10573372,0.4,0.0,0.0,0.46666667,0.13333334,5.763441,258.51566,-3.2790275,1.2831333,0.0,-4.5,-3.7663947e-05,-0.06212305
