spline points,lon,lat
0,0.1182372,-0.18884583
1,0.12783478,-0.190967
2,0.13746764,-0.19350098
3,0.14713378,-0.19643874
4,0.15683131,-0.1997713
5,0.16655824,-0.20348963
6,0.17631266,-0.20758472
7,0.18609259,-0.21204756
8,0.19589609,-0.21686913
9,0.20572123,-0.22204041
10,0.21556607,-0.22755243
11,0.22542864,-0.23339613
12,0.23530701,-0.23956253
13,0.24519923,-0.24604258
14,0.25510335,-0.25282732
15,0.26501745,-0.2599077
16,0.27493954,-0.2672747
17,0.2848677,-0.27491936
18,0.29479995,-0.28283262
19,0.3047344,-0.2910055
20,0.31466907,-0.29942894
21,0.32460207,-0.30809397
22,0.33453137,-0.31699157
23,0.34445503,-0.32611272
24,0.35437116,-0.3354484
25,0.3642778,-0.34498966
26,0.37417296,-0.3547274
27,0.38405475,-0.36465263
28,0.39392123,-0.3747564
29,0.4037704,-0.3850296
30,0.4136003,-0.3954633
31,0.42340907,-0.40604848
32,0.4331947,-0.41677606
33,0.44295526,-0.4276371
34,0.4526888,-0.4386226
35,0.46239337,-0.44972348
36,0.47206706,-0.4609307
37,0.4817079,-0.47223538
38,0.4913139,-0.48362833
39,0.50088316,-0.49510074
40,0.51041377,-0.5066435
41,0.5199037,-0.51824754
42,0.5293511,-0.52990395
43,0.53875387,-0.5416037
44,0.54811025,-0.5533377
45,0.5574182,-0.565097
46,0.5666758,-0.5768725
47,0.57588106,-0.5886554
48,0.58503205,-0.60043645
49,0.5941268,-0.6122068
50,0.6031635,-0.6239574
51,0.61214006,-0.6356792
52,0.62105453,-0.6473631
53,0.62990505,-0.65900034
54,0.6386897,-0.67058176
55,0.6474064,-0.68209827
56,0.65605325,-0.69354093
57,0.6646284,-0.7049008
58,0.67312974,-0.71616876
59,0.6815555,-0.7273359
60,0.68990356,-0.738393
61,0.69817215,-0.7493313
62,0.7063592,-0.7601417
63,0.71446276,-0.7708151
64,0.72248095,-0.78134257
65,0.7304118,-0.79171515
66,0.7382534,-0.8019237
67,0.7460038,-0.8119594
68,0.753661,-0.821813
69,0.761223,-0.83147556
70,0.768688,-0.8409382
71,0.77605397,-0.85019183
72,0.783319,-0.85922736
73,0.7904811,-0.86803585
74,0.79753834,-0.8766083
75,0.8044887,-0.8849357
76,0.81133044,-0.89300895
77,0.8180614,-0.9008191
78,0.8246798,-0.90835714
79,0.83118355,-0.9156141
80,0.83757085,-0.9225809
81,0.84383965,-0.9292487
82,0.849988,-0.93560815
83,0.85601395,-0.9416505
84,0.86191565,-0.94736665
85,0.86769104,-0.9527477
86,0.8733382,-0.9577844
87,0.8788553,-0.96246797
88,0.88424027,-0.96678936
89,0.88949114,-0.9707393
90,0.8946061,-0.97430927
91,0.89958316,-0.9774898
92,0.90442026,-0.9802721
93,0.9091155,-0.98264706
94,0.913667,-0.9846057
95,0.9180728,-0.9861392
96,0.9223309,-0.98723817
97,0.92643946,-0.987894
98,0.93039644,-0.9880973
99,0.9341999,-0.98783934
100,0.9378479,-0.9871112
101,0.9413839,-0.9859649
102,0.9448521,-0.98446274
103,0.9482517,-0.98261017
104,0.951582,-0.9804127
105,0.9548422,-0.97787577
106,0.9580316,-0.9750049
107,0.9611493,-0.9718055
108,0.9641946,-0.96828306
109,0.9671668,-0.964443
110,0.97006506,-0.96029097
111,0.97288865,-0.95583224
112,0.9756368,-0.95107234
113,0.9783087,-0.9460168
114,0.9809036,-0.94067097
115,0.9834208,-0.9350405
116,0.98585945,-0.9291307
117,0.9882189,-0.92294705
118,0.99049824,-0.9164951
119,0.9926968,-0.9097803
120,0.99481386,-0.9028081
121,0.9968485,-0.895584
122,0.9988001,-0.88811344
123,1.0006678,-0.8804019
124,1.002451,-0.8724548
125,1.0041486,-0.8642777
126,1.0057602,-0.855876
127,1.0072848,-0.8472553
128,1.0087217,-0.83842087
129,1.0100702,-0.8293783
130,1.0113294,-0.8201331
131,1.0124987,-0.8106906
132,1.0135773,-0.8010564
133,1.0145643,-0.79123586
134,1.0154591,-0.78123456
135,1.0162609,-0.77105796
136,1.0169687,-0.76071143
137,1.017582,-0.7502005
138,1.0181001,-0.7395307
139,1.018522,-0.72870743
140,1.0188471,-0.7177361
141,1.0190744,-0.70662236
142,1.0192035,-0.6953715
143,1.0192333,-0.68398917
144,1.0191634,-0.6724806
145,1.0189927,-0.6608515
146,1.0187204,-0.6491072
147,1.0183461,-0.63725317
148,1.0178686,-0.6252949
149,1.0172875,-0.613238
150,1.0166019,-0.6010877
151,1.015811,-0.58884966
152,1.014914,-0.57652926
153,1.0139102,-0.564132
154,1.0127989,-0.5516633
155,1.0115792,-0.53912866
