spline points,lon,lat
0,0.17357883,-0.15921481
1,0.18303116,-0.16104484
2,0.19252092,-0.16320631
3,0.20204602,-0.16569184
4,0.21160436,-0.16849405
5,0.2211938,-0.17160556
6,0.23081228,-0.17501895
7,0.24045768,-0.17872688
8,0.2501279,-0.18272193
9,0.25982082,-0.18699671
10,0.26953435,-0.19154386
11,0.27926642,-0.196356
12,0.28901485,-0.2014257
13,0.29877758,-0.20674561
14,0.3085525,-0.21230835
15,0.3183375,-0.21810648
16,0.32813048,-0.22413269
17,0.33792937,-0.23037952
18,0.347732,-0.23683965
19,0.35753632,-0.24350563
20,0.3673402,-0.25037014
21,0.37714154,-0.25742573
22,0.38693827,-0.26466507
23,0.39672822,-0.27208072
24,0.40650934,-0.27966535
25,0.4162795,-0.2874115
26,0.4260366,-0.2953119
27,0.43577853,-0.30335903
28,0.44550323,-0.3115456
29,0.45520854,-0.3198642
30,0.46489236,-0.3283074
31,0.47455266,-0.3368679
32,0.48418722,-0.3455382
33,0.493794,-0.354311
34,0.50337094,-0.3631789
35,0.51291585,-0.3721345
36,0.52242666,-0.3811704
37,0.5319013,-0.39027923
38,0.5413376,-0.39945364
39,0.5507335,-0.40868622
40,0.56008685,-0.41796952
41,0.56939566,-0.42729622
42,0.57865775,-0.43665892
43,0.58787096,-0.44605023
44,0.59703326,-0.45546275
45,0.6061425,-0.46488923
46,0.61519665,-0.47432202
47,0.62419355,-0.48375398
48,0.6331311,-0.49317753
49,0.64200723,-0.5025855
50,0.6508198,-0.5119702
51,0.65956664,-0.5213246
52,0.6682458,-0.530641
53,0.67685497,-0.5399123
54,0.6853924,-0.54913086
55,0.69385564,-0.55828935
56,0.7022426,-0.56738055
57,0.7105515,-0.57639694
58,0.7187798,-0.58533114
59,0.72692573,-0.5941758
60,0.734987,-0.60292345
61,0.74296165,-0.6115668
62,0.75084734,-0.62009835
63,0.7586423,-0.6285109
64,0.7663442,-0.63679683
65,0.77395093,-0.64494896
66,0.7814605,-0.65295976
67,0.7888708,-0.66082203
68,0.79617965,-0.6685282
69,0.8033849,-0.6760709
70,0.81048465,-0.6834429
71,0.8174765,-0.6906365
72,0.8243586,-0.6976447
73,0.8311287,-0.7044598
74,0.83778477,-0.7110746
75,0.8443247,-0.7174817
76,0.8507464,-0.7236736
77,0.8570478,-0.729643
78,0.86322665,-0.7353825
79,0.86928093,-0.7408847
80,0.8752085,-0.7461423
81,0.8810073,-0.75114775
82,0.88667536,-0.75589377
83,0.89221036,-0.760373
84,0.8976102,-0.764578
85,0.9028729,-0.7685014
86,0.9079964,-0.7721357
87,0.9129783,-0.7754738
88,0.9178169,-0.778508
89,0.9225097,-0.781231
90,0.9270549,-0.7836356
91,0.93145037,-0.78571427
92,0.93569374,-0.7874596
93,0.9397831,-0.7888641
94,0.9437164,-0.78992075
95,0.9474915,-0.7906217
96,0.9511062,-0.79096
97,0.9545585,-0.79092795
98,0.95784616,-0.79051834
99,0.9609673,-0.7897236
100,0.9639197,-0.7885366
101,0.9667165,-0.78699684
102,0.9693733,-0.7851522
103,0.97189116,-0.7830073
104,0.9742715,-0.7805669
105,0.97651535,-0.77783555
106,0.978624,-0.774818
107,0.9805987,-0.771519
108,0.9824406,-0.7679431
109,0.98415095,-0.76409507
110,0.98573095,-0.7599796
111,0.98718184,-0.7556013
112,0.9885049,-0.75096494
113,0.9897012,-0.7460751
114,0.99077207,-0.7409365
115,0.9917187,-0.73555386
116,0.99254227,-0.72993183
117,0.99324405,-0.7240751
118,0.9938252,-0.7179883
119,0.994287,-0.7116762
120,0.99463063,-0.7051434
121,0.9948573,-0.69839466
122,0.99496824,-0.69143456
123,0.99496466,-0.6842679
124,0.99484783,-0.6768992
125,0.9946189,-0.6693333
126,0.9942791,-0.66157484
127,0.9938296,-0.6536284
128,0.9932717,-0.64549875
129,0.99260664,-0.63719064
130,0.99183553,-0.6287086
131,0.9909597,-0.6200574
132,0.9899803,-0.6112417
133,0.98889846,-0.6022662
134,0.98771554,-0.5931355
135,0.98643273,-0.5838544
136,0.9850512,-0.5744275
137,0.98357224,-0.5648595
138,0.981997,-0.5551551
139,0.9803267,-0.54531896
140,0.9785626,-0.53535575
141,0.97670585,-0.5252701
142,0.97475773,-0.51506686
143,0.97271943,-0.5047506
144,0.97059214,-0.49432597
145,0.9683771,-0.4837977
146,0.9660756,-0.47317046
147,0.9636888,-0.46244892
148,0.9612178,-0.4516378
149,0.958664,-0.4407417
150,0.9560286,-0.42976537
151,0.95331264,-0.41871345
152,0.9505175,-0.4075907
153,0.94764435,-0.3964017
154,0.9446944,-0.38515112
155,0.94166887,-0.37384376
156,0.938569,-0.36248422
157,0.935396,-0.35107714
158,0.932151,-0.33962733
159,0.9288354,-0.3281394
160,0.92545027,-0.316618
161,0.9219969,-0.30506787
162,0.91847646,-0.29349357
163,0.9148901,-0.2819
164,0.91123915,-0.27029163
165,0.9075248,-0.25867325
166,0.90374833,-0.24704945
167,0.8999108,-0.23542494
168,0.89601356,-0.22380447
169,0.8920578,-0.21219277
170,0.8880446,-0.20059425
171,0.88397545,-0.1890139
172,0.8798513,-0.17745626
173,0.87567353,-0.16592604
174,0.87144333,-0.15442789
175,0.8671618,-0.14296645
176,0.86283034,-0.1315465
177,0.85845006,-0.12017268
178,0.85402215,-0.108849704
179,0.84954786,-0.09758204
180,0.84502846,-0.0863747
181,0.8404651,-0.07523221
182,0.83585906,-0.064159214
183,0.83121145,-0.05316043
184,0.8265236,-0.04224044
185,0.82179666,-0.031404138
186,0.8170319,-0.020656109
187,0.8122305,-0.0100008845
188,0.80739367,0.0005565882
189,0.8025226,0.011011779
190,0.79761857,0.021360159
191,0.79268277,0.03159672
192,0.7877165,0.041717052
193,0.7827208,0.051716328
194,0.77769697,0.061589897
195,0.7726463,0.07133305
196,0.7675699,0.08094126
197,0.76246905,0.090409696
198,0.75734496,0.09973371
199,0.7521989,0.10890859
200,0.747032,0.11792999
201,0.7417968,0.12698598
202,0.73644626,0.13626398
203,0.73098207,0.14575705
204,0.72540593,0.15545823
205,0.7197196,0.16536058
206,0.71392477,0.1754572
207,0.7080231,0.1857411
208,0.7020163,0.19620532
209,0.6959061,0.20684299
210,0.6896942,0.2176471
211,0.68338233,0.22861078
212,0.6769722,0.23972702
213,0.67046547,0.2509889
214,0.6638639,0.2623895
215,0.65716916,0.27392188
216,0.650383,0.28557906
217,0.643507,0.29735413
218,0.63654304,0.30924013
219,0.62949276,0.32123014
220,0.6223578,0.3333172
221,0.61513996,0.34549436
222,0.6078409,0.3577547
223,0.6004623,0.37009126
224,0.5930059,0.38249713
225,0.5854735,0.39496535
226,0.5778666,0.40748894
227,0.5701871,0.42006102
228,0.5624366,0.43267465
229,0.55461687,0.4453228
230,0.54672956,0.45799863
231,0.53877634,0.47069517
232,0.53075904,0.48340544
233,0.5226793,0.49612254
234,0.5145388,0.5088395
235,0.5063393,0.5215494
236,0.49808252,0.53424525
237,0.48977005,0.54692024
238,0.4814037,0.55956733
239,0.4729852,0.57217956
240,0.4645162,0.58474994
241,0.45599836,0.5972717
242,0.4474335,0.60973775
243,0.43882325,0.62214124
244,0.4301693,0.6344752
245,0.42147347,0.6467326
246,0.41273737,0.65890664
247,0.40396267,0.6709903
248,0.3951512,0.68297666
249,0.3863046,0.69485873
250,0.37742454,0.7066297
251,0.36851278,0.71828246
252,0.359571,0.7298101
253,0.35060096,0.7412058
254,0.34160423,0.75246257
255,0.33258268,0.76357347
256,0.32353798,0.7745314
257,0.31447172,0.78532964
258,0.30538574,0.7959612
259,0.2962817,0.806419
260,0.28716138,0.81669617
261,0.27802628,0.8267859
262,0.26887834,0.83668107
263,0.25971913,0.84637475
