time,vehicle_id,real,origin,destination,position,flight_phase,velocity
0.0,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.0,1001,False,1,5,[5.5 1.5 0. ],waiting,[-0.48080528  0.59740651 -0.20557775]
0.0,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.0,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.0,1004,False,4,1,[ 8.  -7.5  0. ],waiting,[-0.62185191  0.08809385  0.93462812]
0.0,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.10853338241577148,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.10853338241577148,1001,False,1,5,[5.5 1.5 0. ],waiting,[-0.48080528  0.59740651 -0.20557775]
0.10853338241577148,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.10853338241577148,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.10853338241577148,1004,False,4,1,[ 8.  -7.5  0. ],queued,[-0.62185191  0.08809385  0.93462812]
0.10853338241577148,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.20288443565368652,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.20288443565368652,1001,False,1,5,[5.5 1.5 0. ],queued,[-0.48080528  0.59740651 -0.20557775]
0.20288443565368652,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.20288443565368652,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.20288443565368652,1004,False,4,1,[ 8.   -7.5   0.02],queued,[-0.62185191  0.08809385  0.93462812]
0.20288443565368652,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.30501461029052734,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.30501461029052734,1001,False,1,5,[5.5  1.5  0.02],queued,[-0.48080528  0.59740651 -0.20557775]
0.30501461029052734,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.30501461029052734,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.30501461029052734,1004,False,4,1,[ 8.   -7.5   0.06],queued,[-0.62185191  0.08809385  0.93462812]
0.30501461029052734,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.40754103660583496,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.40754103660583496,1001,False,1,5,[5.5  1.5  0.06],queued,[-0.48080528  0.59740651 -0.20557775]
0.40754103660583496,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.40754103660583496,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.40754103660583496,1004,False,4,1,[ 8.   -7.5   0.12],queued,[-0.62185191  0.08809385  0.93462812]
0.40754103660583496,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.507519006729126,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.507519006729126,1001,False,1,5,[5.5  1.5  0.12],queued,[-0.48080528  0.59740651 -0.20557775]
0.507519006729126,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.507519006729126,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.507519006729126,1004,False,4,1,[ 8.    -7.5    0.195],queued,[-0.62185191  0.08809385  0.93462812]
0.507519006729126,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.6013035774230957,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.6013035774230957,1001,False,1,5,[5.5   1.5   0.195],queued,[-0.48080528  0.59740651 -0.20557775]
0.6013035774230957,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.6013035774230957,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.6013035774230957,1004,False,4,1,[ 8.   -7.5   0.27],queued,[-0.62185191  0.08809385  0.93462812]
0.6013035774230957,1005,False,5,3,[-8.  8.  0.],waiting,[ 0.50568378 -0.03156594 -0.11489306]
0.7142143249511719,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.7142143249511719,1001,False,1,5,[5.5  1.5  0.27],queued,[-0.48080528  0.59740651 -0.20557775]
0.7142143249511719,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.7142143249511719,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.7142143249511719,1004,False,4,1,[ 8.    -7.5    0.345],queued,[-0.62185191  0.08809385  0.93462812]
0.7142143249511719,1005,False,5,3,[-8.  8.  0.],queued,[ 0.50568378 -0.03156594 -0.11489306]
0.8002543449401855,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.8002543449401855,1001,False,1,5,[5.5   1.5   0.345],queued,[-0.48080528  0.59740651 -0.20557775]
0.8002543449401855,1002,False,2,0,[-7.5 -1.   0. ],waiting,[ 0.5677905  -0.59831228 -0.99408226]
0.8002543449401855,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.8002543449401855,1004,False,4,1,[ 8.   -7.5   0.42],queued,[-0.62185191  0.08809385  0.93462812]
0.8002543449401855,1005,False,5,3,[-8.    8.    0.02],queued,[ 0.50568378 -0.03156594 -0.11489306]
0.9071722030639648,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
0.9071722030639648,1001,False,1,5,[5.5  1.5  0.42],queued,[-0.48080528  0.59740651 -0.20557775]
0.9071722030639648,1002,False,2,0,[-7.5 -1.   0. ],queued,[ 0.5677905  -0.59831228 -0.99408226]
0.9071722030639648,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
0.9071722030639648,1004,False,4,1,[ 8.    -7.5    0.495],queued,[-0.62185191  0.08809385  0.93462812]
0.9071722030639648,1005,False,5,3,[-8.    8.    0.06],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.0099620819091797,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.0099620819091797,1001,False,1,5,[5.5   1.5   0.495],queued,[-0.48080528  0.59740651 -0.20557775]
1.0099620819091797,1002,False,2,0,[-7.5  -1.    0.02],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.0099620819091797,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.0099620819091797,1004,False,4,1,[ 8.   -7.5   0.57],queued,[-0.62185191  0.08809385  0.93462812]
1.0099620819091797,1005,False,5,3,[-8.    8.    0.12],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.1144123077392578,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.1144123077392578,1001,False,1,5,[5.5  1.5  0.57],queued,[-0.48080528  0.59740651 -0.20557775]
1.1144123077392578,1002,False,2,0,[-7.5  -1.    0.06],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.1144123077392578,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.1144123077392578,1004,False,4,1,[ 8.    -7.5    0.645],queued,[-0.62185191  0.08809385  0.93462812]
1.1144123077392578,1005,False,5,3,[-8.     8.     0.195],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.2059099674224854,1000,False,0,2,[3.  8.5 0. ],waiting,[-0.82138112 -0.19970136 -0.21083176]
1.2059099674224854,1001,False,1,5,[5.5   1.5   0.645],queued,[-0.48080528  0.59740651 -0.20557775]
1.2059099674224854,1002,False,2,0,[-7.5  -1.    0.12],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.2059099674224854,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.2059099674224854,1004,False,4,1,[ 8.   -7.5   0.72],queued,[-0.62185191  0.08809385  0.93462812]
1.2059099674224854,1005,False,5,3,[-8.    8.    0.27],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.3125708103179932,1000,False,0,2,[3.  8.5 0. ],queued,[-0.82138112 -0.19970136 -0.21083176]
1.3125708103179932,1001,False,1,5,[5.5  1.5  0.72],queued,[-0.48080528  0.59740651 -0.20557775]
1.3125708103179932,1002,False,2,0,[-7.5   -1.     0.195],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.3125708103179932,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.3125708103179932,1004,False,4,1,[ 8.    -7.5    0.795],queued,[-0.62185191  0.08809385  0.93462812]
1.3125708103179932,1005,False,5,3,[-8.     8.     0.345],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.4115757942199707,1000,False,0,2,[3.   8.5  0.02],queued,[-0.82138112 -0.19970136 -0.21083176]
1.4115757942199707,1001,False,1,5,[5.5   1.5   0.795],queued,[-0.48080528  0.59740651 -0.20557775]
1.4115757942199707,1002,False,2,0,[-7.5  -1.    0.27],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.4115757942199707,1003,False,3,4,[-1. -8.  0.],waiting,[ 0.63925976  0.24903542 -0.34837281]
1.4115757942199707,1004,False,4,1,[ 8.   -7.5   0.87],queued,[-0.62185191  0.08809385  0.93462812]
1.4115757942199707,1005,False,5,3,[-8.    8.    0.42],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.5016651153564453,1000,False,0,2,[3.   8.5  0.06],queued,[-0.82138112 -0.19970136 -0.21083176]
1.5016651153564453,1001,False,1,5,[5.5  1.5  0.87],queued,[-0.48080528  0.59740651 -0.20557775]
1.5016651153564453,1002,False,2,0,[-7.5   -1.     0.345],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.5016651153564453,1003,False,3,4,[-1. -8.  0.],queued,[ 0.63925976  0.24903542 -0.34837281]
1.5016651153564453,1004,False,4,1,[ 8.    -7.5    0.945],queued,[-0.62185191  0.08809385  0.93462812]
1.5016651153564453,1005,False,5,3,[-8.     8.     0.495],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.6010761260986328,1000,False,0,2,[3.   8.5  0.12],queued,[-0.82138112 -0.19970136 -0.21083176]
1.6010761260986328,1001,False,1,5,[5.5   1.5   0.945],queued,[-0.48080528  0.59740651 -0.20557775]
1.6010761260986328,1002,False,2,0,[-7.5  -1.    0.42],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.6010761260986328,1003,False,3,4,[-1.   -8.    0.02],queued,[ 0.63925976  0.24903542 -0.34837281]
1.6010761260986328,1004,False,4,1,[ 8.   -7.5   1.02],queued,[-0.62185191  0.08809385  0.93462812]
1.6010761260986328,1005,False,5,3,[-8.    8.    0.57],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.7084262371063232,1000,False,0,2,[3.    8.5   0.195],queued,[-0.82138112 -0.19970136 -0.21083176]
1.7084262371063232,1001,False,1,5,[5.5  1.5  1.02],queued,[-0.48080528  0.59740651 -0.20557775]
1.7084262371063232,1002,False,2,0,[-7.5   -1.     0.495],queued,[ 0.5677905  -0.59831228 -0.99408226]
1.7084262371063232,1003,False,3,4,[-1.   -8.    0.06],queued,[ 0.63925976  0.24903542 -0.34837281]
1.7084262371063232,1004,False,4,1,[ 8.    -7.5    1.095],queued,[-0.62185191  0.08809385  0.93462812]
1.7084262371063232,1005,False,5,3,[-8.     8.     0.645],queued,[ 0.50568378 -0.03156594 -0.11489306]
1.8090472221374512,1000,False,0,2,[3.   8.5  0.27],queued,[-0.82138112 -0.19970136 -0.21083176]
1.8090472221374512,1001,False,1,5,[5.5   1.5   1.095],queued,[-0.48080528  0.59740651 -0.20557775]
